スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
ダウンロードオンリーメンバー	download|only|member	D_AW1_N_L_OW2_D|OW1_N_L_IY0|M_EH1_M_B_ER0
ハイアライ	jai|alai	JH_AY1|AH0_L_AY1
ショートショート	short|short	SH_AO1_R_T|SH_AO1_R_T
セキュリティプロトコル	security|protocol	S_IH0_K_Y_UH1_R_AH0_T_IY0|P_R_OW1_T_AH0_K_AA2_L
ボールアンパイア	ball|umpire	B_AO1_L|AH1_M_P_AY2_ER0
フォーチュンテラー	fortune|teller	F_AO1_R_CH_AH0_N|T_EH1_L_ER0
イートンカラー	eton|collar	IY1_T_AH0_N|K_AA1_L_ER0
ソルベ	sorbet	S_AO2_R_B_EY1
ジャバスクリプト	javascript	JH_AA1_V_AH0_S_K_R_IH2_P_T
マヤ	maya	M_AY1_AH0
バックフィット	backfit	B_AE1_K_F_IH0_T
エアブレーキ	air|brake	EH1_R|B_R_EY1_K
ピークセルレート	peak|cell|rate	P_IY1_K|S_EH1_L|R_EY1_T
オープントレード	open|trade	OW1_P_AH0_N|T_R_EY1_D
スキャンダラス	scandalous	S_K_AE1_N_D_AH0_L_AH0_S
フェミニニティー	femininity	F_EH2_M_AH0_N_IH1_N_AH0_T_IY0
パラダイムチェンジ	paradigm|change	P_EH1_R_AH0_D_AY2_M|CH_EY1_N_JH
チェイン	chain	CH_EY1_N
ミリタリーマーチ	military|march	M_IH1_L_AH0_T_EH2_R_IY0|M_AA1_R_CH
カブリオレ	cabriolet	K_AE2_B_R_IY0_OW0_L_EY1
ラーバ	lava	L_AA1_V_AH0
ステージダンス	stage|dance	S_T_EY1_JH|D_AE1_N_S
ダルシマー	dulcimer	D_AH1_L_S_IH0_M_ER0
クルーネック	crew|neck	K_R_UW1|N_EH1_K
クォーク	quark	K_W_AA1_R_K
ロイヤルファミリー	royal|family	R_OY1_AH0_L|F_AE1_M_AH0_L_IY0
ゲージ	gauge	G_EY1_JH
トランスポーター	transporter	T_R_AE0_N_S_P_AO1_R_T_ER0
ウッドパルプ	wood|pulp	W_UH1_D|P_AH1_L_P
ネーティブファイルフォーマット	native|file|format	N_EY1_T_IH0_V|F_AY1_L|F_AO1_R_M_AE2_T
ボラ	bora	B_AO1_R_AH0
コンシャスネスレイジング	consciousness|raising	K_AA1_N_SH_AH0_S_N_AH0_S|R_EY1_Z_IH0_NG
イタリー	italy	IH1_T_AH0_L_IY0
エニグマ	enigma	IH0_N_IH1_G_M_AH0
ロールボストン	roll|boston	R_OW1_L|B_AA1_S_T_AH0_N
ラガーマン	rugger|man	R_AH1_G_ER0|M_AE1_N
ロールクラッシャー	roll|crusher	R_OW1_L|K_R_AH1_SH_ER0
ウィービング	weaving	W_IY1_V_IH0_NG
シンデレラコンプレックス	cinderella|complex	S_IH2_N_D_ER0_EH1_L_AH0|K_AA1_M_P_L_EH0_K_S
モーニングコート	morning|coat	M_AO1_R_N_IH0_NG|K_OW1_T
パワーエレクトロニクス	power|electronics	P_AW1_ER0|IH2_L_EH2_K_T_R_AA1_N_IH0_K_S
オイル	oil	OY1_L
アロー	arrow	AE1_R_OW0
ポスターカラー	poster|color	P_OW1_S_T_ER0|K_AH1_L_ER0
サイバースクワット	cyber|squat	S_AY1_B_ER0|S_K_W_AA1_T
ハイヒール	high|heel	HH_AY1|HH_IY1_L
ルー	roux	R_UW1
イヤーブック	yearbook	Y_IH1_R_B_UH2_K
ピンホールカラー	pinhole|collar	P_IH1_N_HH_OW2_L|K_AA1_L_ER0
アディオス	adios	AA2_D_IY0_OW1_S
コミュニティバス	community|bus	K_AH0_M_Y_UW1_N_AH0_T_IY0|B_AH1_S
セカンドラン	second|run	S_EH1_K_AH0_N_D|R_AH1_N
グロッサリー	glossary	G_L_AO1_S_ER0_IY0
プレップ	prep	P_R_EH1_P
プレスクラブ	press|club	P_R_EH1_S|K_L_AH1_B
プロクシサーバ	proxy|server	P_R_AA1_K_S_IY0|S_ER1_V_ER0
ドットインパクトプリンタ	dot|impact|printer	D_AA1_T|IH2_M_P_AE1_K_T|P_R_IH1_N_T_ER0
コミッション	commission	K_AH0_M_IH1_SH_AH0_N
レギュラーチェーン	regular|chain	R_EH1_G_Y_AH0_L_ER0|CH_EY1_N
カラー	collar	K_AA1_L_ER0
ネガティブキャンペーン	negative|campaign	N_EH1_G_AH0_T_IH0_V|K_AE0_M_P_EY1_N
クアラルンプール	kuala|lumpur	K_W_AA1_L_AH0|L_AH2_M_P_UH1_R
トポロジ	topology	T_AH0_P_AO1_L_AH0_JH_IY0
ロールオーバメニュー	rollover|menu	R_OW1_L_OW2_V_ER0|M_EH1_N_Y_UW0
サファリルック	safari|look	S_AH0_F_AA1_R_IY0|L_UH1_K
サーフィン	surfing	S_ER1_F_IH0_NG
ファシリテータ	facilitator	F_AH0_S_IH1_L_AH0_T_EY2_T_ER0
クルド	kurd	K_ER1_D
ナブスター	navstar	N_AE1_V_S_T_AA2_R
パティオ	patio	P_AE1_T_IY0_OW2
メタモルフォーゼ	metamorphose	M_EH2_T_AH0_M_AO1_R_F_OW0_Z
アウトオブプレー	out|of|play	AW1_T|AH1_V|P_L_EY1
