SUTANDINGU	STANDING
IETI	YETI
HANDI	HANDY
AJITEISHON	AGITATION
GITARISUTO	GUITARIST
DAMASUKASU	DAMASCUS
GURUNIE	GRENIER
NEITIVU	NATIVE
BASUTO	BUST
RIA	REAR
JIOIDO	GEOID
TORABURU	TROUBLE
KENIYA	KENYA
TEKUSUTO	TEXT
KUENCHI	QUENCH
HASSURU	HUSTLE
FUTTOMAN	FOOTMAN
NARATIVU	NARRATIVE
RINTO	LINT
BENZEN	BENZENE
SOSHIARU	SOCIAL
ERIYA	AREA
REIZU	RAISING
MERUTODAUN	MELTDOWN
DAKKA	DHAKA
KUROKODAIRU	CROCODILE
SUKURE	SUCRE
GESUTO	GUEST
DIKONSUTORAKUSHON	DECONSTRUCTION
FEMINIZUMU	FEMINISM
OGGU	OGG
SAIN	SINE
PANISSHUMENTO	PUNISHMENT
RAJIARU	RADIAL
GOA	GORE
TISHU	TISSUE
KONTESUTO	CONTEST
KUORITI	QUALITY
MISHISHIPPI	MISSISSIPPI
KATTINGU	CUTTING
RANPU	RAMP
FAINARU	FINAL
ENERUGI	ENERGY
KUXORIFAIA	QUALIFIER
RAIBARU	RIVAL
BITAMIN	VITAMIN
PORIJJI	PORRIDGE
SENSHUARU	SENSUAL
KOROKYUARU	COLLOQUIAL
AIZEN	EISEN
BURUKKU	BROOK
BANGURADESHU	BANGLADESH
DISUKAREJJI	DISCOURAGE
POSUTOMODANIZUMU	POSTMODERNISM
BURAKKU	BLACK
HOWAIDO	WHITE
FITTO	FIT
AIOWA	IOWA
FURANJI	FLANGE
TARUTO	TARTE
NAIRU	NILE
SURAJJI	SLUDGE
PIRIODO	PERIOD
MARIA	MARIA
MORARISUTO	MORALIST
INSUTANSU	INSTANCE
METTO	HELMET
OASHISU	OASIS
MODEREITO	MODERATE
HINTO	HINT
GUANIN	GUANINE
PODDOKYASUTO	PODCAST
KOMYUNIZUMU	COMMUNISM
WEBBU	WEB
DESUPOTIZUMU	DESPOTISM
EREGANTO	ELEGANT
REBORUTO	REVOLT
NAFUKIN	NAPKIN
HANTAUIRUSU	HANTAVIRUS
BOTTO	BOT
EDITINGU	EDITING
MATON	MUTTON
MEDISUN	MEDICINE
SUTANBAI	STANDBY
TORANSUMISSHON	TRANSMISSION
TAROTTO	TAROT
MAI	MY
KAUNSHIRU	COUNCIL
WEFA	WAFER
SAKISOFON	SAXOPHONE
AFERIEITO	AFFILIATE
ABITA	ARBITER
