フェミニニティ	femininity	F_EH2_M_AH0_N_IH1_N_AH0_T_IY0
チェーン	chain	CH_EY1_N
ラバ	lava	L_AA1_V_AH0
クオーク	quark	K_W_AA1_R_K
ウイービング	weaving	W_IY1_V_IH0_NG
ルウ	roux	R_UW1
イアブック	yearbook	Y_IH1_R_B_UH2_K
コミュニティーバス	community|bus	K_AH0_M_Y_UW1_N_AH0_T_IY0|B_AH1_S
セコンドラン	second|run	S_EH1_K_AH0_N_D|R_AH1_N
グロサリー	glossary	G_L_AO1_S_ER0_IY0
プロキシサーバ	proxy|server	P_R_AA1_K_S_IY0|S_ER1_V_ER0
プロキシサーバー	proxy|server	P_R_AA1_K_S_IY0|S_ER1_V_ER0
プロキシーサーバー	proxy|server	P_R_AA1_K_S_IY0|S_ER1_V_ER0
コンミッション	commission	K_AH0_M_IH1_SH_AH0_N
トポロジー	topology	T_AH0_P_AO1_L_AH0_JH_IY0
ファシリテーター	facilitator	F_AH0_S_IH1_L_AH0_T_EY2_T_ER0
ククー	cuckoo	K_AH1_K_UW2
カビア	caviar	K_AE1_V_IY0_AA2_R
インシネレタ	incinerator	IH2_N_S_IH1_N_ER0_EY2_T_ER0
ラブチェア	love|chair	L_AH1_V|CH_EH1_R
ガムボ	gumbo	G_AH1_M_B_OW0
グラフィック	graphic	G_R_AE1_F_IH0_K
コンテナーバッグ	container|bag	K_AH0_N_T_EY1_N_ER0|B_AE1_G
ビュワー	viewer	V_Y_UW1_ER0
ビューワー	viewer	V_Y_UW1_ER0
ビューアー	viewer	V_Y_UW1_ER0
ビューア	viewer	V_Y_UW1_ER0
ビューワ	viewer	V_Y_UW1_ER0
ビュア	viewer	V_Y_UW1_ER0
ドラクマ	drachma	D_R_AE1_K_M_AH0
ドラクメ	drachma	D_R_AE1_K_M_AH0
レスビアン	lesbian	L_EH1_Z_B_IY0_AH0_N
フォーマティング	formatting	F_AO1_R_M_AE2_T_IH0_NG
パーフォーマンス	performance	P_ER0_F_AO1_R_M_AH0_N_S
エベント	event	IH0_V_EH1_N_T
ウォッシャー	washer	W_AA1_SH_ER0
ワッシャー	washer	W_AA1_SH_ER0
アグリゲイション	aggregation	AE2_G_R_AH0_G_EY1_SH_AH0_N
ハンガーディスプレー	hanger|display	HH_AE1_NG_ER0|D_IH0_S_P_L_EY1
ノーウエイト	no|wait	N_OW1|W_EY1_T
ビアガーデン	beer|garden	B_IH1_R|G_AA1_R_D_AH0_N
アパッチ	apache	AH0_P_AE1_CH_IY0
ケトル	kettle	K_EH1_T_AH0_L
レスポンシブウェブデザイン	responsive|web|design	R_IH0_S_P_AA1_N_S_IH0_V|W_EH1_B|D_IH0_Z_AY1_N
メーリング	mailing	M_EY1_L_IH0_NG
ターリバーン	taliban	T_AE1_L_IH0_B_AE2_N
タリバーン	taliban	T_AE1_L_IH0_B_AE2_N
ホームユーザー	home|user	HH_OW1_M|Y_UW1_Z_ER0
バケツハット	bucket|hat	B_AH1_K_IH0_T|HH_AE1_T
オントロジー	ontology	AA0_N_T_AA1_L_AH0_JH_IY0
プレスティージ	prestige	P_R_EH0_S_T_IY1_ZH
プランニング	planning	P_L_AE1_N_IH0_NG
アパーチュア	aperture	AE1_P_ER0_CH_ER0
アパーチャ	aperture	AE1_P_ER0_CH_ER0
ディマシュク	damascus	D_AH0_M_AE1_S_K_AH0_S
ダマスクス	damascus	D_AH0_M_AE1_S_K_AH0_S
アナバプテスト	anabaptist	AE2_N_AH0_B_AE1_P_T_AH0_S_T
オルガスム	orgasm	AO1_R_G_AE0_Z_AH0_M
マキャベリスト	machiavellist	M_AA2_K_IY0_AH0_V_EH1_L_IY0_S_T
マキアベリスト	machiavellist	M_AA2_K_IY0_AH0_V_EH1_L_IY0_S_T
アフィリエイトマーケティング	affiliate|marketing	AH0_F_IH1_L_IY0_EY2_T|M_AA1_R_K_AH0_T_IH0_NG
キヌア	quinoa	K_IY2_N_OW1_AH0
ディフォールト	default	D_IH0_F_AO1_L_T
デフォールト	default	D_IH0_F_AO1_L_T
